No.,Name,URL,Type
1,"15min (2019) Vilniuje lyg Venecijoje: pamatykite, kaip atrodė Vilnius per didįjį 1931-ųjų potvynį",https://www.15min.lt/media-pasakojimai/vilniuje-lyg-venecijoje-pamatykite-kaip-atrode-vilnius-per-didiji-1931-uju-potvyni-808,Private webpage
2,"24ur (2014) Pregled najhujših poplav v Sloveniji, najbolj smrtonosne so bile na Celjskem leta 1954. 14.9.2014",https://www.24ur.com/novice/slovenija/pregled-najhujsih-poplav-v-sloveniji-najbolj-smrtonosne-so-bile-na-celjskem-leta-1954.html,News report
3,3BMeteo (2011) L'Alluvione in Calabria del 1972-73,https://www.3bmeteo.com/giornale-meteo/l--alluvione+in+calabria+del+1972-73-51404,Private webpage
4,ABC Toledo (2016) 125 años de las inundaciones de Consuegra,http://www.abc.es/espana/castilla-la-mancha/toledo/pueblos/abci-cumple-125-aniversario-inundaciones-consuegra-201609082257_noticia.html,News report
5,ABCdeSevilla (2011) Cuando el agua arrasó Sevilla,http://sevilla.abc.es/20111125/sevilla/sevi-cuando-agua-arraso-sevilla-201111242226.html,News report
6,Actualidad Valdepeñas (2016) Valdepeñas inmortaliza el recuerdo a las veintidós víctimas mortales de la riada del 1 de julio de 1979. 2.7.2016,https://actualidadvaldepenas.opennemas.com/articulo/sociedad/valdepenas-inmortaliza-recuerdo-veintidos-victimas-mortales-riada-1-julio-1979/20160702021023086542.html,News report
7,"Administraţia Naţională ""Apele Române"" (2017) Inundaţii istorice semnificative",https://rowater.ro/despre-noi/descrierea-activitatii/managementul-situatiilor-de-urgenta/directiva-inundatii-2007-60-ce/epri/,Government webpage
8,ADN Kronos (2019) Il maltempo fa due morti . 21.12.2019,https://www.adnkronos.com/maltempo-giornata-dallerta_4l5W0h47vkLjqfNTUN0cTk,News report
9,"Adynkiewicz-Piragas, M., Ligenza, P., Tokarczyk, T. (Eds.) (2021) Przebieg i skutki wybranych powodzi w dorzeczu Odry od XIX wieku do czasów współczesnych. Instytut Meteorologii i Gospodarki Wodnej - Państwowy Instytut Badawczy, Warszawa.",https://www.imgw.pl/sites/default/files/2021-11/imgw-pib-monografia-2021-przebieg-i-skutki-wybranych-powodzi-w-dorzeczu-odry-calosc.pdf,Book
10,AERMC - Agence de l'Eau Rhône Méditerranée (2011) Evaluation Préliminaire des Risques d'Inondation (EPRI),https://www.rhone-mediterranee.eaufrance.fr/gestion-de-leaugestion-des-risques-dinondationevaluation-preliminaire-des-risques-dinondation-epri,Government webpage
11,Aftenposten (2016) Enorme nedbørsmengder over Oslo-området,http://www.aftenposten.no/osloby/Enorme-nedborsmengder-over-Oslo-omradet-601576b.html,News report
12,AGERPRES (2014) RETROSPECTIVĂ Inundațiile care au afectat România în 2014 au provocat pierderi de vieți omenești și daune de milioane de euro,https://www.agerpres.ro/social/2014/12/17/retrospectiva-inundatiile-care-au-afectat-romania-in-2014-au-provocat-pierderi-de-vieti-omenesti-si-daune-de-milioane-de-euro-09-27-08,News report
13,"Akstinas, V., Meilutytė-Lukauskienė, D., Kriaučiūnienė, J., Šarauskienė, D. (2020) Features and causes of catastrophic floods in the Nemunas River basin. Hydrology Research, 51 (2), 308–321",https://doi.org/10.1007/s11600-017-0009-x ,Scientific paper
14,"Alto Adige (2016) Alluvione del rio Inferno, una serata 30 anni dopo",http://altoadige.gelocal.it/bolzano/cronaca/2016/06/08/news/alluvione-del-rio-inferno-una-serata-30-anni-dopo-1.13628342?refresh_ce,Government webpage
15,"Amt der Kärntner Landesregierung (1969) Hochwasser in Kärnten. Eine Dokumentation. Klagenfurt, Austria",http://www.interpraevent.at/palm-cms/upload_files/Publikationen/Hochwasser_in_Kaernten/Hochwasser_in_Kaernten.pdf,Government report
16,"Andersen, B. (1996) Flomsikring i Norge i 200 år. Oslo Norges Vassdrags- og Energiverk.",https://www.nb.no/nbsok/nb/35afa8350877591596c7c51e585a9593?lang=no#89,Government report
17,"Andó, M. and Vágás, I. (1973) The great flood in the Tisza basin in 1970. Tiscia, 8, 9-32.",http://expbio.bio.u-szeged.hu/ecology/tiscia/t08/t_8_02.pdf,Scientific paper
18,"Andres, N., Badoux, A. (2017) Unwetterschaden in der Schweiz im Jahre 2016. Wasser Energie Luft, 109 (2), 97-104.",https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A7261/datastream/PDF/Andres-2016-Unwettersch%C3%A4den_in_der_Schweiz_im-%28published_version%29.pdf,Scientific paper
19,"Andres, N., Badoux, A., Hegg, C. (2015) Unwetterschäden in der Schweiz im Jahre 2014. Rutschungen, Murgänge, Hochwasser und Sturzereignisse. Wasser, Energie, Luft, 107(1), 47-54",https://www.dora.lib4ri.ch/wsl/islandora/object/wsl:7255,Scientific paper
20,"Andres, N., Badoux, A., Hegg, C. (2016) Unwetterschäden in der Schweiz im Jahre 2015. Rutschungen, Murgänge, Hochwasser und Sturzereignisse. Wasser, Energie, Luft, 108(1), 1-8.",https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A7261/datastream/PDF/Andres-2016-Unwettersch%C3%A4den_in_der_Schweiz_im-%28published_version%29.pdf,Scientific paper
21,"Andres, N., Badoux, A., Hilker, N., and Hegg, C. (2012) Unwetterschaden in der Schweiz im Jahre 2011. Wasser Energie Luft, 104 (1), 41-49.",https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A7179/datastream/PDF/Andres-2012-Unwettersch%C3%A4den_in_der_Schweiz_im-%28published_version%29.pdf,Scientific paper
22,"Andres, N., Badoux, A., Hilker, N., and Hegg, C. (2014) Unwetterschaden in der Schweiz im Jahre 2013. Wasser Energie Luft, 106 (1), 59-66.",https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A7231/datastream/PDF/Andres-2014-Unwettersch%C3%A4den_in_der_Schweiz_im-%28published_version%29.pdf,Scientific paper
23,Antena3 (2007) Sud-estul României grav afectat de inundaţii. 7.8.2007,https://www.antena3.ro/actualitate/sud-estul-romaniei-grav-afectat-de-inundatii-37068.html,News report
24,AON Benfield (2009a) Annual Global Climate and Catastrophe Report: 2008,http://thoughtleadership.aonbenfield.com/documents/200901_ab_analytics_annual_global_climate_catastrophe_report_jan09.pdf,Insurer/reinsurer publication
25,AON Benfield (2009b) Annual Global Climate and Catastrophe Report: Impact Forecasting - 2009,http://thoughtleadership.aonbenfield.com/documents/200912_ab_if_impact_forecasting_2009_report.pdf,Insurer/reinsurer publication
26,AON Benfield (2010) Annual Global Climate and Catastrophe Report - Impact Forecasting 2010,http://thoughtleadership.aonbenfield.com/documents/201012_if_annual_global_climate_cat_report.pdf,Insurer/reinsurer publication
