Country,Currency,Code,Start date,End date,Conversion,Note
AL,Ottoman Empire Lira,XOL,1844,1916,,Ottoman Empire
AL,Austro-Hungarian/Austrian Kronen,ATK,1916,1919,,Austro-Hungarian occupation
AL,French Franc Germinal,FRG,1919,01/02/1926,,
AL,Old Lek,ALK,01/02/1926,08/16/1965,1 ALK = 1 FRG,1 lek = 0.2 Albanian franks
AL,Italian Lira,ITL,12/04/1939,1943,1 ITL = 0.8 ALK,Italian occupation
AL,German Reichsmark,DER,1943,1945,1 DER = 0.25 ALK,German occupation
AL,Lek,ALL,08/16/1965,,1 ALL = 10 ALK,
AD,French Franc Germinal,FRG,1873,31/12/1959,,
AD,French Franc,FRF,01/01/1960,17/02/2002,1 FRF = 100 FRG,
AD,Spanish Peseta,ESP,1873,28/02/2002,,
AD,Andorran Peseta,ADP,1936,28/02/2002,1 ADP = 1 ESP,
AD,Euro,EUR,01/01/1999,,1 EUR = 6.55957 FRF = 166.386 ESP,
AT,Austro-Hungarian Gulden,ATG,1867,1892-08-02,1 ATG = 2.5 FRG,Austria-Hungary
AT,Austro-Hungarian/Austrian Kronen,ATK,1892-08-02,01/03/1925,1 ATK = 0.5 ATG,Austria-Hungary/Austria
AT,Old Schilling,ATO,01/03/1925,25/04/1938,"1 ATO = 10,000 ATK",
AT,German Reichsmark,DER,25/04/1938,30/11/1945,1 DER = 1.5 ATO,German annexation (highly distorted exchange rate)
AT,Schilling,ATS,30/11/1945,28/02/2002,1 ATS = 1 DER,
AT,Euro,EUR,01/01/1999,,1 EUR = 13.7603 ATS,
BE,Belgian Franc,BEF,1831-02-07,28/02/2002,,1 franc = 0.2 belga
BE,German Reichsmark,DER,01/07/1940,01/09/1944,1 DER = 12.5 BEF,German occupation
BE,Euro,EUR,01/01/1999,,1 EUR = 40.3399 BEF,
BA,Ottoman Empire Lira,XOL,1844,1878,,Ottoman Empire
BA,Austro-Hungarian Gulden,ATG,1878,1892-08-02,1 ATG = 2.5 FRG,Austria-Hungary
BA,Austro-Hungarian Kronen,ATK,1892-08-02,12/11/1918,1 ATK = 0.5 ATG,Austria-Hungary
BA,Yugoslavian Kronen,YUK,12/11/1918,1919,1 YUK = 1 ATK,Yugoslavia
BA,Yugoslavian Dinar (Pre-World War II),YUS,25/12/1918,17/04/1941,1 YUS = 4 YUK,Yugoslavia
BA,Independent State of Croatia Kuna,HRC,17/04/1941,30/04/1945,1 HRC = 0.38 ITL = 0.05 DER = 1 YUS,German occupation
BA,Yugoslav Federation Dinar,YUF,30/04/1945,31/12/1965,1 YUF = 20 YUS = 40 HRC,Yugoslavia
BA,"Yugoslav ""Hard"" Dinar",YUD,01/01/1966,01/01/1990,1 YUD = 100 YUF,Yugoslavia
BA,"Yugoslav ""Convertible"" Dinar",YUN,01/01/1990,01/07/1992,"1 YUN = 10,000 YUD",Yugoslavia
BA,Dinar,BAD,01/07/1992,15/08/1994,1 BAD = 10 YUN,
BA,New Dinar,BAN,15/08/1994,01/07/1998,"1 BAN = 10,000 BAD",
BA,Convertible Mark,BAM,22/06/1998,,1 BAM = 1 DEM = 100 BAN ≈ 6 YUM ≈ 3.66 HRK,
BA,"Yugoslav ""Reformed"" Dinar",YUR,01/07/1992,01/10/1993,1 YUR = 10 YUN,Serb-dominated areas
BA,"Yugoslav ""October"" Dinar",YUO,01/10/1993,01/01/1994,"1 YUO = 1,000,000 YUR",Serb-dominated areas
BA,"Yugoslav ""1994"" Dinar",YUG,01/01/1994,24/01/1994,"1 YUG = 1,000,000,000 YUO",Serb-dominated areas
BA,New Dinar,YUM,24/01/1994,01/07/1998,"1 YUM = 1 DEM ≈ 13,000,000 YUG",Serb-dominated areas
BA,Croatian Dinar,HRD,23/12/1991,01/01/1995,1 HRD = 1 YUN,Croat-dominated areas
BA,Kuna,HRK,30/05/1994,01/07/1998,1 HRK = 1000 HRD,Croat-dominated areas
BG,Ottoman Empire Lira,XOL,1844,1879-07-08,,Ottoman Empire
BG,Old Lev,BGJ,1879-07-08,15/05/1952,1 BGJ = 1 FRG ≈ 0.044 XOL,
BG,Socialist Lev,BGK,12/05/1952,01/01/1962,1 BGK= 100 BGJ,
BG,"""Heavy"" Lev",BGL,01/01/1962,01/07/1999,1 BGL = 10 BGK,
BG,Bulgarian Lev,BGN,01/07/1999,,1 BGN = 1000 BGL,
HR,Austro-Hungarian Gulden,ATG,1867,1892-08-02,1 ATG = 2.5 FRG,Austria-Hungary
